id,date,homeTeam,awayTeam,h_score,a_score,lc,tc,h_q1,h_q2,h_q3,h_q4,h_pitp,h_fbpts,h_bigld,h_benchpts,h_tmreb,h_tov,h_tmtov,h_ptsofto,a_q1,a_q2,a_q3,a_q4,a_pitp,a_fbpts,a_bigld,a_benchpts,a_tmreb,a_tov,a_tmtov,a_ptsofto,h_fga,h_fgp,h_3pa,h_3pp,h_fta,h_ftp,h_oreb,h_dreb,h_ast,h_stl,h_blk,h_to,h_pf,a_fga,a_fgp,a_3pa,a_3pp,a_fta,a_ftp,a_oreb,a_dreb,a_ast,a_stl,a_blk,a_to,a_pf,h_sa,h_sap,h_dfl,h_olbr,h_dlbr,h_c2s,h_c3s,h_obo,h_dbo,a_sa,a_sap,a_dfl,a_olbr,a_dlbr,a_c2s,a_c3s,a_obo,a_dbo
202100000,20210102,CHA,MEM,93,108,3,2,19,28,20,26,23,30,30,25,42,8,3,44,10,18,1,25,52,17,24,34,7,15,2,16,86,40.7,31,29.0,21,66.7,10,32,23,9,4,18,15,90,47.8,39,35.9,10,80.0,10,38,34,10,6,15,18,9,19,16,2,3,33,34,0,13,1,2,22,2,1,43,23,3,9
202100001,20210102,DET,BOS,96,93,3,3,27,28,24,17,12,28,33,20,42,7,21,36,9,19,1,22,50,12,5,20,9,19,2,18,88,40.9,34,32.4,20,65.0,12,36,18,9,2,19,16,83,47.0,31,25.8,14,50.0,7,37,20,12,11,19,20,11,27,11,4,0,23,16,5,8,12,28,19,1,5,47,23,2,16
202100002,20210102,DAL,MIA,93,83,7,1,20,26,27,20,16,15,22,30,28,14,24,23,10,16,1,15,40,14,2,43,8,14,2,18,78,41.0,37,32.4,23,73.9,4,45,18,9,3,16,25,78,37.2,33,21.2,25,72.0,5,36,20,10,2,14,24,8,20,11,6,2,18,19,1,11,6,12,17,5,5,19,25,2,12
202100003,20210102,BKN,ATL,96,114,0,1,23,29,21,23,29,32,28,25,46,6,0,28,10,15,0,18,42,9,20,26,4,9,2,6,86,40.7,37,18.9,23,82.6,10,35,19,6,6,15,16,93,46.2,39,41.0,14,85.7,10,38,24,8,3,9,20,6,13,22,2,2,31,20,3,8,14,33,17,5,4,25,23,1,14
202100004,20210102,MIL,CHI,126,96,1,0,27,35,34,30,21,19,35,21,26,28,32,52,14,17,0,20,42,20,5,39,8,20,1,24,85,49.4,45,48.9,30,66.7,5,39,27,16,6,17,19,87,43.7,26,23.1,20,70.0,6,36,18,10,6,20,21,4,10,21,1,4,38,15,4,11,14,28,14,3,2,24,30,5,18
202100005,20210102,MIN,WAS,109,130,0,0,25,32,14,38,37,23,40,30,54,14,0,50,7,20,0,33,56,16,37,47,7,16,0,17,88,47.7,36,36.1,21,57.1,11,32,17,9,3,20,22,89,55.1,33,48.5,21,76.2,8,35,35,9,3,16,19,10,25,17,1,5,34,18,1,11,17,40,15,3,2,34,24,3,17
202100006,20210102,SAS,LAL,103,109,21,15,31,26,28,18,25,33,23,28,28,9,7,34,9,13,0,11,36,12,7,23,8,13,0,17,85,42.4,34,38.2,26,69.2,8,37,23,3,8,13,20,101,40.6,33,42.4,16,81.3,16,42,27,8,7,13,20,9,19,10,5,3,57,27,1,10,9,21,15,1,7,34,24,5,11
202100007,20210102,DEN,PHX,103,106,9,5,32,17,29,25,34,26,27,19,36,15,8,31,9,11,1,15,28,3,16,23,7,17,0,24,86,45.3,29,41.4,16,81.3,8,30,28,7,1,11,25,76,48.7,35,37.1,21,90.5,8,29,24,1,4,17,20,11,26,17,1,2,22,21,4,6,9,20,7,5,1,31,17,1,2
202100008,20210102,UTA,LAC,106,100,3,4,31,20,33,22,19,23,23,35,46,9,20,34,11,13,1,14,30,11,2,27,8,8,2,15,89,46.1,42,35.7,14,64.3,13,33,28,3,3,13,20,85,38.8,33,39.4,24,87.5,12,31,19,6,8,8,16,11,25,11,2,0,29,26,1,3,8,18,17,7,4,31,26,1,4
202100009,20210102,GSW,POR,98,123,3,0,21,34,25,18,36,31,31,25,34,17,2,39,7,15,0,23,32,11,31,37,9,10,0,15,79,39.2,35,20.0,33,87.9,3,41,19,4,9,15,28,92,43.5,43,46.5,30,76.7,8,43,23,11,3,10,27,5,11,14,1,2,38,28,1,7,11,29,14,2,5,23,22,3,3
