id,date,homeTeam,awayTeam,h_score,a_score,lc,tc,h_q1,h_q2,h_q3,h_q4,h_pitp,h_fbpts,h_bigld,h_benchpts,h_tmreb,h_tov,h_tmtov,h_ptsofto,a_q1,a_q2,a_q3,a_q4,a_pitp,a_fbpts,a_bigld,a_benchpts,a_tmreb,a_tov,a_tmtov,a_ptsofto,h_fga,h_fgp,h_3pa,h_3pp,h_fta,h_ftp,h_oreb,h_dreb,h_ast,h_stl,h_blk,h_to,h_pf,a_fga,a_fgp,a_3pa,a_3pp,a_fta,a_ftp,a_oreb,a_dreb,a_ast,a_stl,a_blk,a_to,a_pf,h_sa,h_sap,h_dfl,h_olbr,h_dlbr,h_c2s,h_c3s,h_obo,h_dbo,a_sa,a_sap,a_dfl,a_olbr,a_dlbr,a_c2s,a_c3s,a_obo,a_dbo
202200000,"January 2, 2022",MIL,NOP,136,113,6,6,27,37,32,40,24,32,26,31,42,20,25,41,7,13,1,18,44,22,7,46,8,15,0,18,92,53.3,48,47.9,18,83.3,4,44,27,10,4,13,20,95,41.1,51,31.4,30,63.3,14,36,28,10,5,15,16,8,18,22,3,3,26,31,1,17,1,3,14,3,9,22,25,1,12
202200001,"January 2, 2022",DET,SAS,117,116,10,5,20,32,33,20,29,30,22,24,48,4,9,12,10,20,1,19,52,8,17,37,14,16,1,14,101,40.6,35,25.7,33,78.8,22,41,18,12,6,20,23,102,41.2,40,30.0,28,71.4,13,35,30,8,3,16,27,9,19,22,4,6,37,25,2,12,13,28,15,6,5,48,21,3,6
202200002,"January 2, 2022",WAS,CHI,119,120,10,6,32,32,24,31,25,27,34,34,72,9,13,21,3,11,1,14,30,0,3,6,3,15,0,13,87,52.9,27,22.2,26,80.8,6,37,26,9,3,11,22,84,48.8,34,50.0,25,84.0,6,38,17,4,4,15,24,8,16,15,4,5,36,16,2,5,10,24,7,0,2,29,10,1,3
202200003,"January 2, 2022",BKN,LAC,116,120,10,6,30,23,34,29,29,20,31,40,44,5,13,25,6,14,1,17,44,21,10,37,9,10,1,9,97,43.3,33,33.3,25,84.0,17,40,26,9,2,14,20,86,48.8,36,38.9,31,71.0,7,33,23,7,6,10,19,12,30,18,1,3,23,26,5,3,8,17,13,5,2,30,19,0,8
202200004,"January 2, 2022",HOU,DEN,111,124,1,1,31,24,19,37,30,47,22,25,42,4,11,53,5,17,1,26,62,15,31,43,9,18,0,16,85,43.5,42,38.1,24,87.5,13,23,20,10,4,17,24,86,53.5,32,31.3,27,81.5,13,33,33,10,6,18,23,8,22,23,1,3,37,15,1,3,4,8,16,2,1,26,16,1,8
202200005,"January 2, 2022",UTA,GSW,116,123,10,8,24,26,41,25,29,35,22,37,52,8,8,29,11,13,0,25,38,11,16,30,9,15,0,13,92,43.5,44,31.8,28,78.6,15,30,19,7,0,13,21,86,53.5,32,53.1,21,66.7,7,33,39,10,2,15,24,7,16,12,5,4,26,17,6,7,13,34,17,3,6,28,26,2,14
202200006,"January 2, 2022",TOR,NYK,120,105,2,1,30,26,40,24,27,18,29,31,52,20,25,33,14,16,1,18,36,8,1,40,10,17,1,27,86,47.7,34,38.2,30,83.3,11,33,21,9,5,16,27,78,44.9,36,33.3,28,82.1,7,23,22,11,4,17,26,11,31,16,3,4,26,20,4,6,10,23,18,5,4,33,28,1,12
202200007,"January 3, 2022",BOS,ORL,116,111,4,8,28,17,20,35,19,23,35,23,48,20,14,14,8,21,1,21,54,5,14,39,11,14,2,20,86,45.3,36,36.1,28,89.3,9,37,25,5,10,21,23,95,42.1,27,33.3,27,81.5,10,35,17,12,3,14,24,10,23,16,5,3,45,22,4,8,8,18,19,5,3,28,19,1,3
202200008,"January 3, 2022",CLE,IND,108,104,16,15,30,28,30,20,30,26,28,20,58,0,9,45,10,8,3,12,26,4,11,12,7,14,0,14,88,46.6,26,23.1,28,71.4,12,36,26,6,4,8,11,83,44.6,46,41.3,14,78.6,9,30,24,6,6,14,24,6,13,11,4,1,20,21,1,4,8,20,19,1,4,36,10,0,8
202200009,"January 3, 2022",SAC,MIA,115,113,14,7,26,35,29,25,18,39,33,23,46,11,11,48,8,16,0,20,54,6,8,19,6,9,0,12,78,51.3,34,38.2,27,81.5,7,32,31,3,2,16,18,105,43.8,33,27.3,12,100.0,18,31,26,4,3,9,18,13,32,9,2,0,45,25,1,7,8,19,11,8,3,22,25,3,8
