id,date,homeTeam,awayTeam,h_score,a_score,lc,tc,h_q1,h_q2,h_q3,h_q4,h_pitp,h_fbpts,h_bigld,h_benchpts,h_tmreb,h_tov,h_tmtov,h_ptsofto,a_q1,a_q2,a_q3,a_q4,a_pitp,a_fbpts,a_bigld,a_benchpts,a_tmreb,a_tov,a_tmtov,a_ptsofto,h_fga,h_fgp,h_3pa,h_3pp,h_fta,h_ftp,h_oreb,h_dreb,h_ast,h_stl,h_blk,h_to,h_pf,a_fga,a_fgp,a_3pa,a_3pp,a_fta,a_ftp,a_oreb,a_dreb,a_ast,a_stl,a_blk,a_to,a_pf,h_sa,h_sap,h_dfl,h_olbr,h_dlbr,h_c2s,h_c3s,h_obo,h_dbo,a_sa,a_sap,a_dfl,a_olbr,a_dlbr,a_c2s,a_c3s,a_obo,a_dbo
202200000,"February 10, 2022",CLE,SAS,105,92,7,0,29,28,27,21,30,18,25,19,50,13,23,31,7,13,2,18,54,18,8,30,9,13,0,17,82.0,47.6,21.0,42.9,24.0,75.0,10.0,41.0,18.0,8.0,2.0,13.0,12.0,99.0,38.4,33.0,24.2,11.0,72.7,15.0,31.0,24.0,8.0,4.0,13.0,17.0,8.0,18.0,14.0,2.0,2.0,42.0,21.0,0.0,8.0,8.0,17.0,14.0,1.0,6.0,40.0,10.0,1.0,8.0
202200001,"February 10, 2022",CHA,CHI,109,121,7,3,29,16,31,33,28,30,31,32,50,27,8,16,11,8,1,9,44,6,21,19,8,12,2,25,93.0,43.0,43.0,30.2,23.0,69.6,11.0,32.0,26.0,7.0,1.0,8.0,16.0,82.0,56.1,33.0,48.5,19.0,68.4,5.0,35.0,27.0,4.0,5.0,12.0,17.0,7.0,15.0,21.0,4.0,0.0,24.0,21.0,0.0,2.0,10.0,22.0,11.0,1.0,1.0,33.0,21.0,0.0,5.0
202200002,"February 10, 2022",OKC,TOR,98,117,2,1,22,29,21,26,34,25,28,30,38,23,1,55,2,17,1,25,58,19,21,21,4,16,0,24,87.0,41.4,47.0,29.8,14.0,85.7,14.0,31.0,28.0,11.0,4.0,17.0,17.0,88.0,51.1,35.0,37.1,14.0,100.0,10.0,35.0,22.0,9.0,4.0,16.0,16.0,1.0,3.0,19.0,7.0,4.0,32.0,27.0,2.0,10.0,8.0,20.0,20.0,3.0,3.0,27.0,33.0,1.0,5.0
202200003,"February 10, 2022",UTA,GSW,111,85,9,3,30,25,24,32,31,18,16,20,48,16,30,44,9,9,3,6,20,8,13,28,11,11,2,14,89.0,46.1,51.0,33.3,17.0,70.6,11.0,41.0,26.0,3.0,9.0,9.0,16.0,78.0,35.9,43.0,37.2,17.0,76.5,3.0,32.0,17.0,8.0,3.0,11.0,19.0,6.0,14.0,12.0,4.0,5.0,22.0,18.0,3.0,2.0,10.0,26.0,16.0,2.0,2.0,15.0,38.0,0.0,11.0
202200004,"February 10, 2022",POR,LAL,107,105,14,10,18,29,29,31,18,36,24,27,58,28,7,32,3,11,0,8,40,4,9,39,8,21,0,28,89.0,47.2,32.0,31.3,16.0,81.3,11.0,30.0,26.0,15.0,3.0,11.0,15.0,74.0,55.4,37.0,45.9,13.0,46.2,3.0,35.0,29.0,7.0,7.0,21.0,15.0,8.0,19.0,22.0,1.0,3.0,18.0,26.0,0.0,3.0,7.0,17.0,17.0,4.0,1.0,18.0,24.0,1.0,2.0
202200005,"February 10, 2022",SAC,MIN,132,119,9,9,29,42,28,33,37,27,37,18,72,20,13,34,11,13,1,19,52,8,13,22,9,10,0,14,93.0,51.6,30.0,40.0,27.0,88.9,11.0,40.0,32.0,4.0,7.0,13.0,19.0,98.0,44.9,46.0,34.8,18.0,83.3,6.0,28.0,28.0,4.0,6.0,10.0,21.0,7.0,15.0,9.0,1.0,0.0,28.0,26.0,1.0,4.0,11.0,27.0,15.0,0.0,2.0,30.0,11.0,1.0,3.0
202200006,"February 11, 2022",DET,MEM,107,132,0,1,19,31,30,27,41,24,30,37,54,8,0,39,5,9,1,13,52,14,28,51,12,12,1,12,94.0,43.6,35.0,20.0,21.0,85.7,10.0,30.0,27.0,4.0,7.0,9.0,29.0,92.0,47.8,30.0,50.0,42.0,69.0,18.0,42.0,32.0,6.0,4.0,12.0,23.0,6.0,13.0,14.0,2.0,3.0,41.0,12.0,3.0,3.0,6.0,13.0,19.0,1.0,6.0,23.0,24.0,7.0,8.0
202200007,"February 11, 2022",WAS,BKN,113,112,9,4,24,31,31,27,27,32,19,34,46,2,13,45,3,11,1,10,40,2,9,32,7,10,0,3,85.0,50.6,31.0,35.5,18.0,88.9,10.0,31.0,29.0,7.0,5.0,11.0,23.0,84.0,46.4,29.0,34.5,28.0,85.7,12.0,30.0,19.0,6.0,3.0,10.0,21.0,14.0,28.0,14.0,5.0,3.0,38.0,15.0,1.0,4.0,10.0,25.0,10.0,5.0,2.0,26.0,21.0,3.0,8.0
202200008,"February 11, 2022",NOP,MIA,97,112,4,6,24,31,18,24,27,29,27,29,34,6,5,28,7,17,0,22,50,10,15,27,8,13,1,9,85.0,42.4,41.0,26.8,16.0,87.5,12.0,27.0,19.0,8.0,6.0,17.0,23.0,81.0,48.1,32.0,31.3,28.0,85.7,11.0,32.0,25.0,12.0,4.0,13.0,19.0,7.0,14.0,11.0,2.0,4.0,30.0,16.0,0.0,8.0,6.0,14.0,13.0,0.0,8.0,35.0,19.0,4.0,12.0
202200009,"February 11, 2022",HOU,TOR,120,139,7,5,41,23,28,28,37,36,31,35,54,7,10,24,13,21,0,33,70,9,21,39,8,11,1,18,82.0,52.4,38.0,42.1,30.0,60.0,13.0,28.0,25.0,5.0,4.0,21.0,20.0,97.0,54.6,39.0,38.5,22.0,81.8,14.0,23.0,25.0,12.0,3.0,11.0,28.0,7.0,18.0,6.0,6.0,4.0,41.0,25.0,1.0,11.0,8.0,20.0,18.0,4.0,4.0,30.0,31.0,1.0,6.0
