leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,FCSM,3,1,0,0,2,1,1
2,SRFC,4,1,1,0,4,1,3
3,SRFC,5,1,2,0,4,1,3
4,MHSC,8,2,2,0,2,0,2
5,ASSE,10,3,1,1,8,6,2
6,SRFC,12,3,3,0,7,2,5
7,TFC,14,4,2,1,9,4,5
8,LOSC,14,3,5,0,11,5,6
9,PSG,15,4,3,2,13,6,7
10,ASSE,18,5,3,2,15,10,5
11,OM,19,5,4,2,18,11,7
12,PSG,19,5,4,3,18,11,7
13,SRFC,21,5,6,2,14,8,6
14,MHSC,24,7,3,4,13,12,1
15,SB29,25,7,4,4,18,11,7
16,SRFC,27,7,6,3,17,11,6
17,OL,29,8,5,4,24,19,5
18,SRFC,31,8,7,3,18,11,7
19,SRFC,31,8,7,4,18,12,6
20,SRFC,34,9,7,4,22,12,10
21,OL,34,9,7,5,30,23,7
22,SRFC,37,10,7,5,24,17,7
23,OM,39,10,9,4,32,19,13
24,OM,42,11,9,4,34,20,14
25,OM,45,12,9,4,36,21,15
26,OL,45,12,9,5,44,25,19
27,OL,48,13,9,5,46,25,21
28,SRFC,50,14,8,6,32,21,11
29,SRFC,51,14,9,6,32,21,11
30,OL,53,14,11,5,52,28,24
31,OL,53,14,11,6,52,29,23
32,OL,56,15,11,6,55,31,24
33,OL,56,15,11,7,55,33,22
34,OL,59,16,11,7,58,35,23
35,OL,59,16,11,8,58,39,19
36,OL,60,16,12,8,59,40,19
37,OL,61,16,13,8,59,40,19
38,OL,64,17,13,8,61,40,21
