leagueMatchNb,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th
1,OL,OL,OL,OL,OL,OL,OL,OL,OL,OL,OL,OL,OL,OL,OL,OL,OL,OL,OL,OL
2,OL,OL,OL,OL,OL,OL,OL,OL,OL,OL,OL,OL,OL,OL,OL,OL,OL,OL,OL,OL
3,EAG,EAG,EAG,EAG,EAG,EAG,EAG,EAG,EAG,EAG,EAG,EAG,EAG,EAG,EAG,EAG,EAG,EAG,EAG,EAG
4,ASM,ASM,ASM,ASM,ASM,ASM,ASM,ASM,ASM,ASM,ASM,ASM,ASM,ASM,ASM,ASM,ASM,ASM,ASM,ASM
5,ASM,ASM,ASM,ASM,ASM,ASM,ASM,ASM,ASM,ASM,ASM,ASM,ASM,ASM,ASM,ASM,ASM,ASM,ASM,ASM
6,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN
7,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN
8,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN
9,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN
10,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN
11,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN
12,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN
13,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN
14,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN
15,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN,OGCN
