leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,BORDEAUX,3,1,0,0,3,2,1
2,PARIS SG,6,2,0,0,4,0,4
3,AS MONACO,7,2,1,0,6,3,3
4,OGC NICE,10,3,1,0,6,3,3
5,OGC NICE,11,3,2,0,7,4,3
6,PARIS SG,13,4,1,1,15,4,11
7,AS MONACO,16,5,1,1,15,9,6
8,AS MONACO,19,6,1,1,22,9,13
9,PARIS SG,19,6,1,2,19,7,12
10,AS MONACO,22,7,1,2,29,14,15
11,AS MONACO,23,7,2,2,30,15,15
12,AS MONACO,26,8,2,2,36,15,21
13,AS MONACO,29,9,2,2,39,15,24
14,AS MONACO,32,10,2,2,43,15,28
15,PARIS SG,35,11,2,2,30,8,22
16,AS MONACO,36,11,3,2,49,16,33
17,AS MONACO,39,12,3,2,53,16,37
18,AS MONACO,39,12,3,3,54,19,35
19,AS MONACO,42,13,3,3,56,20,36
20,OGC NICE,45,13,6,1,34,13,21
21,OGC NICE,46,13,7,1,35,14,21
22,OGC NICE,49,14,7,1,38,15,23
23,PARIS SG,49,15,4,4,45,17,28
24,PARIS SG,52,16,4,4,47,18,29
25,PARIS SG,55,17,4,4,50,18,32
26,PARIS SG,56,17,5,4,50,18,32
27,PARIS SG,59,18,5,4,55,19,36
28,PARIS SG,62,19,5,4,56,19,37
29,PARIS SG,65,20,5,4,58,20,38
30,PARIS SG,68,21,5,4,60,21,39
31,PARIS SG,71,22,5,4,63,23,40
32,PARIS SG,74,23,5,4,67,23,44
33,PARIS SG,77,24,5,4,69,23,46
34,PARIS SG,80,25,5,4,71,23,48
35,PARIS SG,80,25,5,5,72,26,46
36,PARIS SG,83,26,5,5,77,26,51
37,PARIS SG,86,27,5,5,82,26,56
38,PARIS SG,87,27,6,5,83,27,56
