leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,OL,3,1,0,0,3,0,3
2,OL,6,2,0,0,5,0,5
3,PSG,9,3,0,0,8,3,5
4,PSG,12,4,0,0,14,4,10
5,PSG,12,4,0,1,14,8,6
6,PSG,15,5,0,1,17,8,9
7,PSG,18,6,0,1,21,8,13
8,PSG,19,6,1,1,22,9,13
9,PSG,19,6,1,2,24,12,12
10,PSG,22,7,1,2,26,12,14
11,PSG,25,8,1,2,28,12,16
12,PSG,28,9,1,2,34,12,22
13,PSG,29,9,2,2,35,13,22
14,PSG,29,8,5,1,37,15,22
15,PSG,31,9,4,2,31,18,13
16,PSG,32,9,5,2,40,18,22
17,PSG,35,10,5,2,42,19,23
18,PSG,38,12,2,4,44,18,26
19,PSG,41,13,2,4,46,19,27
20,PSG,42,13,3,4,46,19,27
21,PSG,45,13,6,2,49,21,28
22,PSG,48,14,6,2,51,22,29
23,PSG,48,14,6,3,52,25,27
24,PSG,51,15,6,3,53,27,26
25,PSG,53,16,5,4,60,26,34
26,PSG,56,17,5,4,64,26,38
27,PSG,57,17,6,4,67,29,38
28,PSG,60,18,6,4,69,30,39
29,PSG,63,19,6,4,72,31,41
30,PSG,66,20,6,4,74,32,42
31,PSG,67,20,7,4,75,33,42
32,PSG,70,21,7,4,77,34,43
33,PSG,70,21,7,5,78,41,37
34,PSG,70,21,7,6,79,44,35
35,PSG,72,21,9,5,79,38,41
36,PSG,75,22,9,5,82,38,44
37,PSG,77,23,8,6,82,45,37
38,PSG,80,24,8,6,85,45,40
