leagueMatchNb,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th
1,OL,OM,LOSC,EA GUINGAMP,PARIS SG,AS MONACO,ASSE,MONTPELLIER,BORDEAUX,ANGERS SCO,RENNES,TROYES,TOULOUSE FC,OGC NICE,SM CAEN,FC METZ,AMIENS SC,DIJON FCO,FC NANTES,STRASBOURG
2,OL,PARIS SG,AS MONACO,OM,ASSE,BORDEAUX,ANGERS SCO,TROYES,TOULOUSE FC,LOSC,MONTPELLIER,EA GUINGAMP,STRASBOURG,RENNES,OGC NICE,SM CAEN,FC METZ,AMIENS SC,FC NANTES,DIJON FCO
3,PARIS SG,AS MONACO,ASSE,OL,OM,BORDEAUX,ANGERS SCO,TROYES,MONTPELLIER,STRASBOURG,OGC NICE,SM CAEN,LOSC,EA GUINGAMP,FC NANTES,TOULOUSE FC,RENNES,DIJON FCO,FC METZ,AMIENS SC
4,PARIS SG,AS MONACO,ASSE,OL,BORDEAUX,OM,ANGERS SCO,SM CAEN,EA GUINGAMP,TOULOUSE FC,TROYES,MONTPELLIER,LOSC,STRASBOURG,FC NANTES,DIJON FCO,OGC NICE,AMIENS SC,RENNES,FC METZ
5,PARIS SG,AS MONACO,OL,ASSE,BORDEAUX,SM CAEN,ANGERS SCO,FC NANTES,TOULOUSE FC,OM,OGC NICE,EA GUINGAMP,AMIENS SC,RENNES,TROYES,LOSC,MONTPELLIER,STRASBOURG,DIJON FCO,FC METZ
6,PARIS SG,AS MONACO,ASSE,BORDEAUX,OL,OM,FC NANTES,OGC NICE,SM CAEN,EA GUINGAMP,ANGERS SCO,MONTPELLIER,TOULOUSE FC,AMIENS SC,RENNES,TROYES,LOSC,DIJON FCO,STRASBOURG,FC METZ
7,PARIS SG,AS MONACO,BORDEAUX,ASSE,OM,FC NANTES,OL,SM CAEN,OGC NICE,EA GUINGAMP,ANGERS SCO,MONTPELLIER,TROYES,TOULOUSE FC,RENNES,AMIENS SC,DIJON FCO,LOSC,STRASBOURG,FC METZ
8,PARIS SG,AS MONACO,OM,FC NANTES,SM CAEN,BORDEAUX,ASSE,OL,TROYES,OGC NICE,EA GUINGAMP,ANGERS SCO,MONTPELLIER,AMIENS SC,TOULOUSE FC,RENNES,DIJON FCO,STRASBOURG,LOSC,FC METZ
9,PARIS SG,AS MONACO,ASSE,OM,FC NANTES,OL,BORDEAUX,SM CAEN,EA GUINGAMP,ANGERS SCO,MONTPELLIER,TROYES,TOULOUSE FC,OGC NICE,AMIENS SC,RENNES,STRASBOURG,DIJON FCO,LOSC,FC METZ
10,PARIS SG,AS MONACO,FC NANTES,OL,OM,ASSE,BORDEAUX,MONTPELLIER,SM CAEN,TOULOUSE FC,EA GUINGAMP,ANGERS SCO,AMIENS SC,TROYES,OGC NICE,RENNES,STRASBOURG,DIJON FCO,LOSC,FC METZ
11,PARIS SG,AS MONACO,OL,OM,FC NANTES,ASSE,SM CAEN,BORDEAUX,MONTPELLIER,TOULOUSE FC,EA GUINGAMP,ANGERS SCO,AMIENS SC,RENNES,DIJON FCO,TROYES,OGC NICE,STRASBOURG,LOSC,FC METZ
12,PARIS SG,AS MONACO,OL,OM,FC NANTES,ASSE,SM CAEN,MONTPELLIER,BORDEAUX,RENNES,TROYES,TOULOUSE FC,AMIENS SC,EA GUINGAMP,ANGERS SCO,OGC NICE,DIJON FCO,STRASBOURG,LOSC,FC METZ
13,PARIS SG,AS MONACO,OL,OM,FC NANTES,SM CAEN,ASSE,MONTPELLIER,BORDEAUX,TOULOUSE FC,RENNES,AMIENS SC,DIJON FCO,TROYES,EA GUINGAMP,ANGERS SCO,OGC NICE,STRASBOURG,LOSC,FC METZ
