leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,AS MONACO,3,1,0,0,3,1,2
2,DIJON FCO,6,2,0,0,4,1,3
3,LOSC,7,2,1,0,6,1,5
4,TOULOUSE FC,9,3,0,1,5,6,-1
5,LOSC,10,3,1,1,9,4,5
6,MONTPELLIER,11,3,2,1,6,4,2
7,OM,13,4,1,2,19,13,6
8,MONTPELLIER,15,4,3,1,11,6,5
9,OM,16,5,1,3,21,16,5
10,MONTPELLIER,19,5,4,1,14,7,7
11,MONTPELLIER,22,6,4,1,17,7,10
12,LOSC,25,8,1,3,21,10,11
13,MONTPELLIER,25,7,4,2,20,8,12
14,MONTPELLIER,26,7,5,2,22,10,12
15,OL,28,8,4,3,26,18,8
16,MONTPELLIER,29,8,5,3,24,12,12
17,MONTPELLIER,29,8,5,4,25,17,8
18,OL,32,9,5,4,31,22,9
19,OL,33,9,6,4,32,23,9
20,ASSE,36,10,6,4,31,23,8
21,OL,37,10,7,4,35,25,10
22,OL,40,11,7,4,36,25,11
23,OL,43,12,7,4,38,26,12
24,OL,43,12,7,5,38,27,11
25,OL,46,13,7,5,40,28,12
26,OL,46,13,7,6,40,30,10
27,OL,49,14,7,6,45,31,14
28,OL,50,14,8,6,47,33,14
29,OL,53,15,8,6,50,35,15
30,OL,56,16,8,6,51,35,16
31,OL,56,16,8,7,52,38,14
32,OL,56,16,8,8,53,40,13
33,OL,59,17,8,8,55,41,14
34,OL,62,18,8,8,58,43,15
35,OL,63,18,9,8,60,45,15
36,OL,66,19,9,8,63,45,18
37,OL,69,20,9,8,67,45,22
38,OL,72,21,9,8,70,47,23
