id,date,hour,leagueMatchNb,idHome,homeTeam,idAway,awayTeam,h_score,a_score,h_possession,h_shots,h_targettedShots,h_nonTargettedShots,h_blockedShots,h_freeKicks,h_corners,h_offPlays,h_throwsIns,h_goalKeeperSaves,h_fouls,h_redCards,h_yellowCards,h_attemptedPasses,h_succeededPasses,h_tackles,h_attacks,h_dangerousAttacks,a_possession,a_shots,a_targettedShots,a_nonTargettedShots,a_blockedShots,a_freeKicks,a_corners,a_offPlays,a_throwsIns,a_goalKeeperSaves,a_fouls,a_redCards,a_yellowCards,a_attemptedPasses,a_succeededPasses,a_tackles,a_attacks,a_dangerousAttacks
1,20211222,2100,19,12,FCGB,1,LOSC,2,3,41,12,3,5,4,14,5,1,32,0,11,0,1,341,265,15,93,39,59,13,3,6,4,14,6,3,16,1,7,0,3,502,406,19,108,39
2,20211222,2100,19,16,FCL,2,PSG,1,1,23,17,5,8,4,12,6,2,11,3,6,0,1,229,171,18,68,29,77,17,4,10,3,12,8,2,23,4,8,1,3,784,717,18,175,119
3,20211222,2100,19,4,OL,10,FCM,1,1,76,18,6,4,8,22,13,0,26,1,12,0,2,718,631,26,175,68,24,6,2,1,3,12,2,3,15,5,19,0,3,222,139,34,83,18
4,20211222,2100,19,5,OM,14,SDR,1,1,73,14,6,4,4,9,7,0,27,1,12,1,4,716,637,6,143,74,27,7,2,5,0,11,4,3,10,5,6,1,4,260,199,18,49,21
5,20211222,2100,19,3,ASM,6,SRFC,2,1,48,11,3,5,3,8,7,3,21,5,11,0,2,410,309,7,121,48,52,16,6,5,5,14,5,0,13,1,9,0,1,469,359,11,109,38
6,20211222,2100,19,8,MHSC,13,SCO,4,1,46,9,6,1,2,16,1,0,21,5,13,0,1,405,319,26,72,29,54,13,6,5,2,13,6,3,27,2,13,0,1,448,391,15,134,53
7,20211222,2100,19,9,OGCN,7,RCL,2,1,55,9,3,5,1,13,5,1,20,3,7,0,0,592,531,12,121,66,45,8,4,3,1,8,4,4,11,1,9,0,2,499,432,17,98,30
8,20211222,2100,19,11,ASSE,18,FCN,0,1,50,14,6,5,3,16,5,2,33,2,13,0,1,462,354,15,108,33,50,8,3,4,1,14,4,4,42,6,12,0,1,445,339,20,145,69
9,20211222,2100,19,25,ESTAC,17,SB29,1,1,66,15,4,8,3,10,9,3,16,1,16,1,3,588,503,13,147,61,34,8,2,4,2,19,0,0,17,3,10,0,2,307,218,17,87,28
10,20211212,2045,18,2,PSG,3,ASM,2,0,52,9,2,4,3,17,1,4,11,3,8,0,3,539,474,13,95,32,48,13,3,5,5,12,6,3,11,0,15,0,4,480,402,26,105,52
11,20211212,1700,18,15,RCSA,5,OM,0,2,49,11,3,6,2,13,8,2,24,1,10,0,2,492,408,12,124,48,51,8,3,4,1,12,3,1,9,3,12,0,1,511,426,13,67,22
12,20211212,1500,18,13,SCO,41,CF63,0,1,64,12,3,5,4,23,8,0,22,2,8,0,1,629,555,9,137,60,36,17,3,8,6,9,3,2,20,3,12,0,2,355,270,23,77,36
13,20211212,1500,18,10,FCM,16,FCL,4,1,33,5,3,1,1,12,3,2,22,5,10,0,2,277,205,21,60,27,67,17,6,8,3,17,8,0,40,0,8,0,2,545,464,20,145,81
14,20211212,1500,18,6,SRFC,9,OGCN,1,2,67,20,8,7,5,18,11,1,17,1,10,0,1,596,517,9,162,78,33,7,3,2,2,12,6,2,14,7,11,0,4,309,236,13,64,25
15,20211212,1500,18,25,ESTAC,12,FCGB,1,2,65,21,3,12,6,29,8,2,26,2,11,0,3,506,428,13,137,83,35,8,4,2,2,15,1,3,11,2,15,0,3,291,206,17,59,15
16,20211212,1300,18,1,LOSC,4,OL,0,0,51,14,2,9,3,25,4,4,23,2,11,0,2,470,367,11,130,48,49,13,2,7,4,22,3,2,26,2,15,0,6,451,345,18,114,44
17,20211211,2100,18,14,SDR,11,ASSE,2,0,53,17,6,8,3,15,11,6,19,0,19,0,2,392,327,17,116,49,47,4,0,2,2,25,5,0,22,4,16,1,2,352,271,13,84,26
18,20211211,1700,18,17,SB29,8,MHSC,0,4,43,17,6,6,5,9,8,0,22,0,16,0,2,400,321,21,131,55,57,9,4,4,1,16,2,3,12,6,6,0,1,550,474,20,89,21
19,20211210,2100,18,18,FCN,7,RCL,3,2,40,15,5,4,6,11,8,0,19,0,10,0,3,365,293,21,92,45,60,4,2,1,1,10,2,1,18,2,10,0,3,559,477,13,105,32
20,20211205,2045,17,12,FCGB,4,OL,2,2,30,12,5,6,1,11,3,3,22,3,11,0,0,288,199,22,65,25,70,19,5,8,6,14,8,2,26,3,9,0,0,702,610,14,179,78
21,20211205,1700,17,9,OGCN,15,RCSA,0,3,60,12,5,4,3,17,9,2,12,2,9,0,3,481,405,7,122,42,40,15,5,6,4,11,4,3,16,5,14,0,3,321,244,13,72,20
22,20211205,1500,17,16,FCL,18,FCN,0,1,54,17,2,9,6,21,8,0,26,0,8,0,1,497,413,19,118,59,46,5,1,2,2,12,3,1,27,2,13,0,3,438,351,15,95,39
23,20211205,1500,17,3,ASM,10,FCM,4,0,65,8,5,2,1,23,5,4,23,0,13,0,1,587,507,21,123,47,35,6,0,4,2,22,4,1,13,1,13,0,2,307,228,18,91,31
24,20211205,1500,17,8,MHSC,41,CF63,1,0,48,8,2,3,3,15,1,2,21,3,19,0,3,476,385,18,117,21,52,10,3,5,2,26,3,1,30,1,14,1,3,495,416,18,118,53
25,20211205,1500,17,14,SDR,13,SCO,1,2,43,5,2,2,1,18,7,1,24,2,8,1,4,337,252,11,80,41,57,13,4,6,3,11,4,2,23,1,13,0,3,448,381,10,108,50
26,20211205,1300,17,11,ASSE,6,SRFC,0,5,44,12,2,4,6,12,7,3,20,5,10,0,1,360,288,15,78,37,56,18,10,5,3,18,2,2,20,2,7,0,0,489,393,15,100,48
27,20211204,2100,17,7,RCL,2,PSG,1,1,36,18,7,8,3,10,8,1,10,5,12,0,2,377,314,6,98,42,64,13,6,4,3,9,5,2,8,6,9,0,2,708,628,16,102,48
28,20211204,1900,17,1,LOSC,25,ESTAC,2,1,45,13,4,7,2,4,8,2,9,2,11,0,3,387,294,15,82,71,55,7,3,1,3,7,6,0,15,2,9,0,4,484,375,19,118,57
29,20211204,1700,17,5,OM,17,SB29,1,2,74,16,4,6,6,13,5,1,21,2,10,0,1,824,759,17,156,43,26,9,4,2,3,12,0,2,16,3,7,0,2,290,222,21,53,31
