leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,CLERMONT,3,1,0,0,2,0,2
2,ANGERS SCO,6,2,0,0,5,0,5
3,PARIS SG,9,3,0,0,10,5,5
4,PARIS SG,12,4,0,0,12,5,7
5,PARIS SG,15,5,0,0,16,5,11
6,PARIS SG,18,6,0,0,18,6,12
7,PARIS SG,21,7,0,0,20,7,13
8,PARIS SG,24,8,0,0,22,7,15
9,PARIS SG,24,8,0,1,22,9,13
10,PARIS SG,27,9,0,1,24,10,14
11,PARIS SG,28,9,1,1,24,10,14
12,PARIS SG,31,10,1,1,26,11,15
13,PARIS SG,34,11,1,1,29,13,16
14,PARIS SG,37,12,1,1,32,14,18
15,PARIS SG,40,13,1,1,35,15,20
16,PARIS SG,41,13,2,1,35,15,20
17,PARIS SG,42,13,3,1,36,16,20
18,PARIS SG,45,14,3,1,38,16,22
19,PARIS SG,46,14,4,1,39,17,22
20,PARIS SG,47,14,5,1,40,18,22
21,PARIS SG,50,15,5,1,42,18,24
22,PARIS SG,53,16,5,1,46,18,28
23,PARIS SG,56,17,5,1,51,19,32
24,PARIS SG,59,18,5,1,52,19,33
25,PARIS SG,59,18,5,2,53,22,31
26,PARIS SG,62,19,5,2,56,23,33
27,PARIS SG,62,19,5,3,56,24,32
28,PARIS SG,65,20,5,3,59,24,35
29,PARIS SG,65,20,5,4,59,27,32
30,PARIS SG,68,21,5,4,64,28,36
31,PARIS SG,71,22,5,4,70,29,41
32,PARIS SG,74,23,5,4,72,30,42
33,PARIS SG,77,24,5,4,75,30,45
34,PARIS SG,78,24,6,4,76,31,45
35,PARIS SG,79,24,7,4,79,34,45
