"['id', 'date', 'hour', 'leagueMatchNb', 'idHome', 'homeTeam', 'idAway', 'awayTeam', 'h_score', 'a_score', 'h_possession', 'h_shots', 'h_targettedShots', 'h_nonTargettedShots', 'h_blockedShots', 'h_freeKicks', 'h_corners', 'h_offPlays', 'h_throwsIns', 'h_goalKeeperSaves', 'h_fouls', 'h_redCards', 'h_yellowCards', 'h_attemptedPasses', 'h_succeededPasses', 'h_tackles', 'h_attacks', 'h_dangerousAttacks', 'a_possession', 'a_shots', 'a_targettedShots', 'a_nonTargettedShots', 'a_blockedShots', 'a_freeKicks', 'a_corners', 'a_offPlays', 'a_throwsIns', 'a_goalKeeperSaves', 'a_fouls', 'a_redCards', 'a_yellowCards', 'a_attemptedPasses', 'a_succeededPasses', 'a_tackles', 'a_attacks', 'a_dangerousAttacks']"
"[1, 20210530, 1800, -1, 18, 'FCN', 22, 'TFC', '0', '1', 38, 8, 2, 3, 3, 24, 4, 1, 21, 4, 19, 0, 0, 3, 306, 25, 118, 66, 62, 12, 5, 6, 1, 26, 1, 0, 34, 2, 17, 0, 1, 3, 500, 22, 127, 66]"
"[2, 20210527, 2045, -1, 22, 'TFC', 18, 'FCN', '1', '2', 56, 15, 2, 7, 6, 25, 3, 4, 30, 2, 12, 0, 0, 2, 530, 24, 89, 52, 44, 11, 4, 6, 1, 22, 1, 0, 24, 1, 17, 0, 0, 1, 408, 12, 103, 67]"
"[3, 20210523, 2100, '38', 13, 'SCO', 1, 'LOSC', '1', '2', 57, 11, 4, 6, 1, 28, 4, 0, 19, 0, 10, 0, 0, 0, 660, 11, 144, 40, 43, 5, 2, 3, 0, 13, 2, 4, 19, 3, 14, 0, 0, 2, 496, 17, 94, 26]"
"[4, 20210523, 2100, '38', 17, 'SB29', 2, 'PSG', '0', '2', 37, 6, 5, 1, 0, 7, 5, 1, 15, 3, 7, 0, 0, 1, 393, 14, 85, 30, 63, 9, 4, 3, 2, 9, 4, 0, 21, 5, 6, 0, 0, 2, 696, 9, 127, 80]"
"[5, 20210523, 2100, '38', 7, 'RCL', 3, 'ASM', '0', '0', 35, 4, 1, 3, 0, 12, 2, 3, 14, 3, 16, 0, 0, 3, 338, 13, 75, 26, 65, 19, 3, 11, 5, 29, 7, 4, 22, 1, 6, 0, 0, 2, 632, 14, 165, 67]"
"[6, 20210523, 2100, '38', 4, 'OL', 9, 'OGCN', '2', '3', 54, 12, 6, 4, 2, 17, 6, 2, 24, 3, 8, 0, 0, 1, 510, 19, 140, 70, 46, 14, 6, 6, 2, 15, 6, 0, 10, 4, 10, 0, 0, 2, 432, 14, 57, 43]"
"[7, 20210523, 2100, '38', 10, 'FCM', 5, 'OM', '1', '1', 35, 10, 3, 3, 4, 10, 1, 1, 21, 1, 14, 0, 0, 3, 320, 12, 72, 29, 65, 9, 2, 6, 1, 18, 10, 1, 24, 2, 10, 0, 0, 2, 586, 14, 98, 47]"
"[8, 20210523, 2100, '38', 18, 'FCN', 8, 'MHSC', '1', '2', 49, 15, 5, 4, 6, 18, 9, 1, 26, 3, 8, 0, 0, 2, 354, 19, 101, 75, 51, 8, 5, 2, 1, 10, 5, 1, 23, 4, 11, 0, 0, 2, 376, 25, 102, 28]"
"[9, 20210523, 2100, '38', 14, 'SDR', 12, 'FCGB', '1', '2', 56, 10, 3, 4, 3, 9, 5, 2, 14, 3, 11, 0, 0, 1, 554, 10, 90, 48, 44, 12, 5, 3, 4, 18, 2, 1, 14, 2, 6, 0, 0, 1, 449, 11, 90, 43]"
"[10, 20210523, 2100, '38', 6, 'SRFC', 19, 'NO', '2', '0', 68, 12, 6, 4, 2, 19, 4, 0, 16, 2, 11, 0, 0, 1, 832, 14, 160, 64, 32, 9, 2, 7, 0, 13, 3, 2, 12, 4, 10, 0, 0, 0, 384, 10, 74, 11]"
"[11, 20210523, 2100, '38', 11, 'ASSE', 20, 'DFCO', '0', '1', 65, 19, 5, 9, 5, 14, 9, 1, 29, 1, 13, 0, 0, 1, 609, 15, 138, 57, 35, 10, 2, 7, 1, 20, 3, 0, 15, 5, 10, 0, 0, 0, 328, 30, 79, 20]"
"[12, 20210523, 2100, '38', 15, 'RCSA', 16, 'FCL', '1', '1', 52, 6, 2, 4, 0, 13, 2, 0, 20, 0, 17, 0, 0, 1, 488, 15, 100, 25, 48, 7, 1, 4, 2, 24, 3, 1, 24, 1, 9, 0, 0, 1, 442, 13, 96, 27]"
"[13, 20210521, 2045, -1, 22, 'TFC', 36, 'GF38', '3', '0', 42, 12, 6, 4, 2, 20, 3, 1, 23, 3, 15, 0, 0, 2, 365, 20, 105, 66, 58, 14, 3, 8, 3, 23, 4, 0, 28, 3, 13, 0, 0, 3, 490, 24, 121, 78]"
"[14, 20210518, 2045, -1, 36, 'GF38', 42, 'PFC', '2', '0', 35, 12, 8, 3, 1, 20, 4, 2, 17, 3, 14, 0, 0, 1, 290, 12, 88, 83, 65, 15, 3, 5, 7, 23, 5, 4, 22, 6, 12, 0, 0, 1, 526, 16, 126, 118]"
"[15, 20210516, 2100, '37', 12, 'FCGB', 7, 'RCL', '3', '0', 33, 11, 4, 5, 2, 22, 1, 1, 18, 4, 16, 0, 0, 2, 288, 22, 86, 29, 67, 14, 4, 5, 5, 21, 6, 2, 26, 1, 15, 0, 0, 2, 565, 15, 142, 62]"
"[16, 20210516, 2100, '37', 20, 'DFCO', 18, 'FCN', '0', '4', 71, 10, 1, 4, 5, 14, 3, 1, 37, 0, 12, 0, 0, 2, 661, 19, 130, 43, 29, 16, 4, 9, 3, 20, 6, 1, 19, 1, 10, 0, 0, 1, 268, 15, 100, 39]"
"[17, 20210516, 2100, '37', 1, 'LOSC', 11, 'ASSE', '0', '0', 59, 14, 3, 6, 5, 23, 3, 1, 27, 1, 11, 0, 0, 1, 596, 21, 148, 58, 41, 8, 1, 3, 4, 14, 6, 1, 22, 3, 14, 0, 0, 2, 396, 19, 86, 25]"
"[18, 20210516, 2100, '37', 16, 'FCL', 10, 'FCM', '2', '1', 38, 6, 2, 2, 2, 20, 2, 0, 19, 0, 16, 0, 0, 1, 383, 26, 93, 32, 62, 3, 1, 1, 1, 23, 1, 0, 23, 0, 19, 0, 0, 4, 635, 14, 136, 39]"
"[19, 20210516, 2100, '37', 5, 'OM', 13, 'SCO', '3', '2', 53, 16, 11, 3, 2, 19, 3, 2, 12, 3, 16, 0, 0, 3, 543, 23, 91, 36, 47, 11, 5, 3, 3, 26, 4, 2, 17, 8, 12, 0, 0, 2, 478, 8, 112, 44]"
"[20, 20210516, 2100, '37', 3, 'ASM', 6, 'SRFC', '2', '1', 39, 11, 3, 2, 6, 21, 4, 2, 26, 2, 12, 0, 0, 2, 366, 23, 101, 31, 61, 9, 2, 5, 2, 19, 4, 0, 31, 1, 14, 0, 1, 2, 561, 12, 129, 61]"
"[21, 20210516, 2100, '37', 8, 'MHSC', 17, 'SB29', '0', '0', 41, 4, 2, 2, 0, 18, 1, 0, 21, 9, 18, 0, 1, 0, 344, 12, 110, 29, 59, 22, 9, 8, 5, 26, 11, 0, 29, 2, 13, 0, 0, 3, 499, 17, 123, 83]"
"[22, 20210516, 2100, '37', 9, 'OGCN', 15, 'RCSA', '0', '2', 72, 7, 3, 3, 1, 16, 4, 1, 26, 3, 9, 0, 0, 2, 679, 17, 181, 40, 28, 11, 5, 2, 4, 15, 4, 2, 14, 3, 10, 0, 0, 1, 257, 11, 54, 29]"
"[23, 20210516, 2100, '37', 19, 'NO', 4, 'OL', '2', '5', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[24, 20210516, 2100, '37', 2, 'PSG', 14, 'SDR', '4', '0', 57, 28, 10, 11, 7, 6, 9, 1, 17, 0, 14, 0, 0, 0, 586, 13, 119, 87, 43, 2, 0, 1, 1, 18, 5, 2, 7, 6, 4, 0, 0, 1, 440, 24, 60, 24]"
"[25, 20210509, 2100, '36', 6, 'SRFC', 2, 'PSG', '1', '1', 42, 19, 10, 6, 3, 16, 9, 4, 18, 3, 12, 0, 0, 4, 414, 14, 85, 49, 58, 12, 4, 7, 1, 17, 3, 2, 15, 9, 11, 0, 1, 1, 563, 13, 105, 63]"
"[26, 20210509, 1705, '36', 14, 'SDR', 3, 'ASM', '0', '1', 39, 8, 2, 3, 3, 16, 3, 1, 30, 1, 11, 0, 0, 1, 403, 8, 80, 37, 61, 7, 2, 3, 2, 18, 3, 0, 16, 2, 13, 0, 0, 3, 655, 18, 144, 38]"
"[27, 20210509, 1500, '36', 13, 'SCO', 20, 'DFCO', '3', '0', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[28, 20210509, 1500, '36', 10, 'FCM', 19, 'NO', '0', '3', 59, 11, 2, 5, 4, 22, 0, 1, 18, 2, 13, 0, 0, 1, 560, 11, 115, 35, 41, 10, 5, 3, 2, 17, 6, 2, 27, 2, 12, 0, 0, 2, 379, 18, 100, 43]"
"[29, 20210509, 1500, '36', 9, 'OGCN', 17, 'SB29', '3', '2', 63, 14, 5, 7, 2, 17, 7, 0, 20, 0, 8, 0, 1, 1, 611, 12, 134, 71, 37, 9, 2, 4, 3, 10, 5, 0, 18, 2, 11, 0, 0, 1, 365, 14, 85, 31]"
"[30, 20210509, 1500, '36', 15, 'RCSA', 8, 'MHSC', '2', '3', 58, 18, 7, 7, 4, 25, 4, 1, 26, 0, 16, 0, 0, 2, 457, 16, 122, 57, 42, 6, 3, 1, 2, 25, 6, 1, 18, 5, 16, 0, 0, 3, 336, 9, 90, 25]"
"[31, 20210509, 1300, '36', 11, 'ASSE', 5, 'OM', '1', '0', 45, 18, 5, 8, 5, 21, 10, 2, 20, 4, 22, 0, 0, 1, 313, 15, 81, 28, 55, 15, 4, 8, 3, 31, 4, 3, 25, 4, 12, 0, 0, 3, 385, 19, 89, 48]"
"[32, 20210508, 1700, '36', 4, 'OL', 16, 'FCL', '4', '1', 59, 25, 11, 8, 6, 14, 5, 0, 24, 1, 17, 0, 0, 2, 598, 18, 135, 52, 41, 8, 2, 3, 3, 25, 1, 1, 18, 7, 10, 0, 0, 2, 414, 14, 86, 16]"
"[33, 20210508, 1300, '36', 18, 'FCN', 12, 'FCGB', '3', '0', 49, 11, 3, 4, 4, 31, 5, 0, 14, 2, 13, 0, 0, 0, 411, 8, 142, 48, 51, 10, 2, 6, 2, 21, 2, 2, 30, 0, 20, 0, 0, 5, 427, 18, 102, 32]"
"[34, 20210507, 2100, '36', 7, 'RCL', 1, 'LOSC', '0', '3', 49, 11, 5, 4, 2, 16, 5, 0, 17, 3, 15, 0, 1, 3, 498, 8, 119, 40, 51, 11, 6, 5, 0, 20, 4, 0, 12, 5, 9, 0, 0, 2, 528, 16, 98, 29]"
"[35, 20210502, 2100, '35', 3, 'ASM', 4, 'OL', '2', '3', 47, 12, 4, 6, 2, 25, 5, 2, 20, 2, 23, 0, 2, 1, 433, 17, 97, 34, 53, 17, 5, 9, 3, 30, 5, 3, 11, 2, 16, 0, 3, 4, 471, 9, 126, 54]"
"[36, 20210502, 1705, '35', 8, 'MHSC', 11, 'ASSE', '1', '2', 46, 13, 2, 5, 6, 16, 7, 1, 22, 5, 15, 0, 0, 2, 360, 27, 82, 46, 54, 19, 7, 4, 8, 23, 7, 0, 33, 1, 12, 0, 0, 1, 439, 7, 119, 39]"
"[37, 20210502, 1500, '35', 17, 'SB29', 18, 'FCN', '1', '4', 59, 16, 7, 3, 6, 17, 5, 2, 34, 2, 12, 0, 0, 2, 564, 15, 144, 65, 41, 12, 6, 1, 5, 17, 5, 2, 21, 6, 10, 0, 0, 0, 390, 19, 87, 47]"
"[38, 20210502, 1500, '35', 20, 'DFCO', 10, 'FCM', '1', '5', 45, 10, 4, 4, 2, 23, 6, 0, 15, 1, 11, 0, 1, 1, 395, 12, 97, 34, 55, 14, 6, 7, 1, 17, 3, 1, 19, 3, 16, 0, 0, 1, 489, 25, 101, 42]"
"[39, 20210502, 1500, '35', 16, 'FCL', 13, 'SCO', '2', '0', 50, 13, 4, 6, 3, 19, 5, 4, 15, 2, 8, 0, 1, 3, 539, 15, 117, 32, 50, 9, 2, 6, 1, 13, 0, 0, 15, 2, 13, 0, 1, 3, 545, 15, 116, 55]"
"[40, 20210502, 1500, '35', 19, 'NO', 14, 'SDR', '2', '2', 50, 18, 7, 7, 4, 17, 10, 1, 33, 5, 15, 0, 0, 2, 397, 14, 102, 53, 50, 12, 7, 3, 2, 25, 5, 0, 27, 5, 13, 0, 0, 2, 389, 13, 87, 24]"
"[41, 20210502, 1300, '35', 12, 'FCGB', 6, 'SRFC', '1', '0', 46, 9, 4, 2, 3, 22, 3, 1, 24, 2, 14, 0, 0, 4, 405, 14, 96, 19, 54, 9, 2, 4, 3, 26, 5, 1, 25, 3, 14, 0, 1, 1, 471, 23, 119, 65]"
"[42, 20210501, 2100, '35', 1, 'LOSC', 9, 'OGCN', '2', '0', 56, 12, 4, 4, 4, 22, 5, 2, 17, 0, 9, 0, 0, 2, 618, 13, 127, 47, 44, 0, 0, 0, 0, 13, 1, 2, 22, 2, 12, 0, 1, 3, 490, 14, 82, 25]"
"[43, 20210501, 1700, '35', 2, 'PSG', 7, 'RCL', '2', '1', 60, 14, 6, 5, 3, 24, 6, 3, 17, 2, 14, 0, 0, 4, 594, 15, 108, 34, 40, 15, 3, 11, 1, 23, 2, 2, 7, 4, 16, 0, 0, 2, 391, 21, 82, 41]"
"[44, 20210430, 2100, '35', 5, 'OM', 15, 'RCSA', '1', '1', 68, 8, 4, 4, 0, 22, 5, 1, 28, 4, 10, 0, 0, 4, 643, 6, 147, 48, 32, 8, 5, 3, 0, 15, 6, 0, 14, 3, 14, 0, 0, 2, 299, 15, 77, 33]"
"[45, 20210425, 2100, '34', 4, 'OL', 1, 'LOSC', '2', '3', 46, 7, 2, 2, 3, 18, 8, 1, 18, 4, 9, 0, 0, 0, 477, 10, 118, 66, 54, 16, 7, 5, 4, 16, 4, 1, 21, 1, 13, 0, 0, 3, 572, 12, 109, 40]"
"[46, 20210425, 1705, '34', 13, 'SCO', 3, 'ASM', '0', '1', 41, 4, 0, 3, 1, 17, 4, 2, 26, 2, 18, 0, 0, 2, 365, 12, 84, 22, 59, 10, 3, 5, 2, 27, 1, 2, 23, 0, 11, 0, 0, 2, 543, 19, 119, 43]"
"[47, 20210425, 1500, '34', 7, 'RCL', 19, 'NO', '2', '1', 43, 7, 4, 2, 1, 17, 4, 1, 30, 1, 14, 0, 1, 1, 359, 20, 80, 23, 57, 16, 2, 10, 4, 21, 6, 1, 27, 2, 15, 0, 0, 2, 461, 17, 117, 71]"
"[48, 20210425, 1500, '34', 16, 'FCL', 12, 'FCGB', '4', '1', 44, 13, 7, 6, 0, 19, 6, 1, 19, 6, 9, 0, 0, 2, 383, 25, 90, 46, 56, 13, 7, 4, 2, 12, 3, 1, 31, 3, 14, 0, 0, 3, 495, 7, 118, 51]"
"[49, 20210425, 1500, '34', 6, 'SRFC', 20, 'DFCO', '5', '1', 74, 25, 12, 7, 6, 14, 8, 3, 16, 0, 13, 0, 0, 6, 773, 16, 148, 67, 26, 4, 1, 2, 1, 24, 2, 1, 13, 7, 8, 0, 0, 3, 262, 16, 79, 49]"
