leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,SM CAEN,1,0,1,0,0,0,0
2,AMIENS SC,3,1,0,1,1,1,0
3,RODEZ AF,4,1,1,1,2,4,-2
4,AJ AUXERRE,6,2,0,2,4,5,-1
5,EA GUINGAMP,7,2,1,2,5,6,-1
6,HAVRE AC,9,3,0,3,5,7,-2
7,HAVRE AC,10,3,1,3,6,8,-2
8,VAFC,11,3,2,3,6,5,1
9,USL DUNKERQUE,13,4,1,4,7,7,0
10,VAFC,14,4,2,4,12,12,0
11,VAFC,15,4,3,4,13,13,0
12,VAFC,16,4,4,4,14,14,0
13,USL DUNKERQUE,17,5,2,6,11,12,-1
14,FCSM,19,4,7,3,19,15,4
15,USL DUNKERQUE,20,6,2,7,13,16,-3
16,VAFC,21,5,6,5,18,19,-1
17,AMIENS SC,23,6,5,6,14,12,2
18,VAFC,24,6,6,6,23,22,1
19,NIORT,25,7,4,8,20,29,-9
20,NIORT,26,7,5,8,21,30,-9
21,NIORT,27,7,6,8,23,32,-9
22,AC AJACCIO,28,7,7,8,20,27,-7
23,SM CAEN,29,7,8,8,24,29,-5
24,SM CAEN,30,7,9,8,24,29,-5
25,HAVRE AC,33,8,9,8,21,27,-6
26,AMIENS SC,33,8,9,9,21,21,0
27,NIORT,34,8,10,9,30,39,-9
28,AMIENS SC,34,8,10,10,22,25,-3
29,RODEZ AF,36,8,12,9,29,33,-4
30,AMIENS SC,37,9,10,11,25,29,-4
31,AMIENS SC,38,9,11,11,26,30,-4
32,AC AJACCIO,39,10,9,13,28,38,-10
33,AMIENS SC,41,10,11,12,27,32,-5
34,AC AJACCIO,42,11,9,14,31,40,-9
35,AC AJACCIO,43,11,10,14,33,42,-9
36,AC AJACCIO,44,11,11,14,33,42,-9
37,AC AJACCIO,45,11,12,14,34,43,-9
38,VAFC,47,12,11,15,50,59,-9
