id,abbr,ligue2,flashscoreName
1,PFC,PARIS FC,Paris FC
2,SMC,SM CAEN,Caen
3,FCSM,FCSM,Sochaux
4,AJA,AJ AUXERRE,Auxerre
5,PAUFC,PAU FC,Pau FC
6,ACA,AC AJACCIO,AC Ajaccio
7,TFC,TOULOUSE FC,Toulouse
8,NO,NÎMES,Nîmes
9,QRM,QRM,Quevilly-Rouen
10,USLD,USL DUNKERQUE,Dunkerque
11,SCB,SC BASTIA,Bastia
12,HAC,HAVRE AC,Le Havre
13,EAG,EA GUINGAMP,Guingamp
14,CNFC,NIORT,Niort
15,VAFC,VAFC,Valenciennes
16,ASNL,NANCY,Nancy
17,ASC,AMIENS SC,Amiens
18,DFCO,DIJON FCO,Dijon
19,GF38,GRENOBLE,Grenoble
20,RAF,RODEZ AF,Rodez
21,ESTAC,TROYES,Troyes
22,LBC,CHÂTEAUROUX,Chateauroux
23,CF63,CLERMONT,Clermont
24,FCCO,FC CHAMBLY,Chambly
