id,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th
1,SCO,CF63,OM,PSG,LOSC,FCM,FCL,OL,ASM,SRFC,RCL,ASSE,FCN,SB29,SDR,OGCN,FCGB,RCSA,MHSC,ESTAC
2,SCO,CF63,PSG,OGCN,FCN,OM,FCL,SDR,RCL,ASSE,SRFC,SB29,LOSC,OL,FCM,FCGB,MHSC,ASM,RCSA,ESTAC
3,PSG,SCO,CF63,OGCN,RCL,OM,SRFC,MHSC,FCN,FCL,SDR,ASSE,LOSC,OL,FCM,SB29,FCGB,RCSA,ESTAC,ASM
4,OGCN,CF63,OM,RCL,LOSC,OL,FCL,SRFC,MHSC,FCN,RCSA,ASM,FCM,ASSE,SDR,FCGB,SB29,PSG,SCO,ESTAC
5,RCL,CF63,OL,FCL,MHSC,SDR,LOSC,SRFC,RCSA,ASM,ESTAC,FCN,FCM,SB29,ASSE,FCGB,PSG,SCO,OM,OGCN
6,FCL,CF63,MHSC,OL,FCN,SDR,RCSA,FCGB,LOSC,SRFC,ASM,ESTAC,SB29,FCM,ASSE,PSG,OM,RCL,OGCN,SCO
7,MHSC,CF63,SRFC,LOSC,ASM,SDR,FCGB,ESTAC,SB29,FCM,ASSE,PSG,OM,OGCN,SCO,RCL,FCL,OL,FCN,RCSA
8,SRFC,MHSC,CF63,FCGB,FCM,ESTAC,SB29,ASSE,PSG,OM,RCL,OGCN,SCO,FCL,OL,ASM,LOSC,FCN,SDR,RCSA
9,FCGB,FCM,ESTAC,SB29,ASSE,PSG,RCL,OGCN,SCO,OM,ASM,FCL,LOSC,FCN,OL,SRFC,RCSA,MHSC,CF63,SDR
10,ESTAC,FCGB,FCM,SB29,ASSE,PSG,OM,RCL,OGCN,SCO,OL,SRFC,RCSA,FCN,ASM,LOSC,FCL,MHSC,CF63,SDR
11,FCGB,SB29,FCM,ASSE,PSG,RCL,OGCN,OM,SRFC,SCO,FCN,ASM,OL,LOSC,FCL,RCSA,CF63,MHSC,ESTAC,SDR
12,SB29,FCM,ASSE,PSG,OGCN,OM,RCL,SRFC,OL,RCSA,SCO,FCN,ASM,MHSC,FCL,LOSC,CF63,ESTAC,FCGB,SDR
13,ASSE,FCM,PSG,OGCN,RCL,OM,SRFC,MHSC,OL,RCSA,SCO,FCN,ASM,LOSC,FCL,ESTAC,CF63,FCGB,SB29,SDR
14,FCM,PSG,OGCN,SRFC,RCL,OM,SCO,RCSA,ASM,OL,MHSC,FCN,LOSC,FCL,SB29,FCGB,ESTAC,SDR,CF63,ASSE
15,PSG,SRFC,OGCN,OM,RCL,SCO,OL,RCSA,ASM,FCN,MHSC,SB29,LOSC,SDR,FCL,CF63,FCGB,ESTAC,ASSE,FCM
16,PSG,OM,SRFC,OGCN,RCL,RCSA,ASM,SCO,MHSC,OL,SB29,LOSC,FCN,SDR,ESTAC,FCL,CF63,FCGB,FCM,ASSE
17,PSG,SRFC,OM,OGCN,RCL,ASM,RCSA,SCO,MHSC,SB29,LOSC,OL,FCN,SDR,ESTAC,FCL,FCGB,CF63,ASSE,FCM
18,PSG,OM,SRFC,OGCN,MHSC,RCL,ASM,RCSA,SCO,FCN,LOSC,OL,SB29,SDR,FCGB,CF63,ESTAC,FCM,FCL,ASSE
